Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45004813,Sylvia Plath in Context (Literature in Context),Tracy Brain,"Brain, Tracy",,"=""1108470130""","=""9781108470131""",0,4.40,Cambridge University Press,Hardcover,446,2019,,,2020/06/20,to-read,to-read (#66),to-read,,,,0,0
464260,The Fire Next Time,James Baldwin,"Baldwin, James",,"=""067974472X""","=""9780679744726""",0,4.55,Vintage,Paperback,106,1992,1963,,2020/06/20,to-read,to-read (#65),to-read,,,,0,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",0,4.24,MTV Books/Pocket Books,Hardcover,213,1999,1999,,2020/06/20,to-read,to-read (#64),to-read,,,,0,0
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""1420925539""","=""9781420925531""",4,4.13,Digireads.com,Paperback,123,2005,1887,,2020/06/20,,,read,,,,1,0
243685,A History of Western Philosophy,Bertrand Russell,"Russell, Bertrand",,"=""0671201581""","=""9780671201586""",0,4.13,Simon & Schuster,Paperback,906,1986,1945,,2020/06/19,to-read,to-read (#63),to-read,,,,0,0
40611015,The Light in the Dark: A Winter Journal,Horatio Clare,"Clare, Horatio",,"=""1783964049""","=""9781783964048""",0,3.78,Elliott & Thompson,Hardcover,208,2018,2018,,2020/06/19,to-read,to-read (#62),to-read,,,,0,0
33621427,Home Fire,Kamila Shamsie,"Shamsie, Kamila",,"=""0735217688""","=""9780735217683""",0,4.02,Riverhead Books,Hardcover,276,2017,2017,,2020/06/19,to-read,to-read (#61),to-read,,,,0,0
16176440,We Are All Completely Beside Ourselves,Karen Joy Fowler,"Fowler, Karen Joy",,"=""0399162097""","=""9780399162091""",0,3.71,Plume,Hardcover,310,2013,2013,,2020/06/19,to-read,to-read (#60),to-read,,,,0,0
7628,The Good Soldier: A Tale of Passion,Ford Madox Ford,"Ford, Ford Madox","Kenneth Womack, William Baker","=""1551113813""","=""9781551113814""",0,3.67,Broadview Press,Paperback,368,2003,1915,,2020/06/19,to-read,to-read (#59),to-read,,,,0,0
35074096,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,"=""0718188721""","=""9780718188726""",0,4.26,Michael Joseph,Hardcover,416,2017,2017,,2020/06/19,to-read,to-read (#58),to-read,,,,0,0
16148,Empire of the Senseless,Kathy Acker,"Acker, Kathy",,"=""0802131794""","=""9780802131799""",0,3.68,Grove Press,Paperback,240,1994,1988,,2020/06/19,to-read,to-read (#57),to-read,,,,0,0
6656,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli","=""0679433139""","=""9780679433132""",0,4.08,Everyman's Library,Hardcover,798,1995,1320,,2020/06/18,to-read,to-read (#56),to-read,,,,0,0
53022,The Collected Poems of W.B. Yeats,W.B. Yeats,"Yeats, W.B.",Richard J. Finneran,"=""0684807319""","=""9780684807317""",0,4.23,Scribner,Paperback,544,1996,1933,,2020/06/18,to-read,to-read (#55),to-read,,,,0,0
30474,The Communist Manifesto,Karl Marx,"Marx, Karl","Friedrich Engels, Samuel Moore, Gareth Stedman Jones","=""0140447571""","=""9780140447576""",0,3.67,Penguin Books,Paperback,288,2002,1848,,2020/06/18,to-read,to-read (#54),to-read,,,,0,0
18813642,Bad Feminist,Roxane Gay,"Gay, Roxane",,"=""0062282719""","=""9780062282712""",0,3.92,Harper Perennial,Paperback,320,2014,2014,,2020/06/18,to-read,to-read (#53),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",4,3.95,Harper Press,Paperback,170,2005,-500,,2020/06/18,,,read,,,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,,2020/06/18,to-read,to-read (#52),to-read,,,,0,0
3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"Pollan, Michael",,"=""1594200823""","=""9781594200823""",0,4.19,The Penguin Press,Hardcover,450,2006,2006,,2020/06/18,to-read,to-read (#51),to-read,,,,0,0
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",0,4.21,Bantam Books,Paperback,226,1998,1988,,2020/06/18,to-read,to-read (#50),to-read,,,,0,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.08,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2020/06/18,to-read,to-read (#49),to-read,,,,0,0
2459785,"In the Woods (Dublin Murder Squad, #1)",Tana French,"French, Tana",,"=""""","=""""",0,3.78,Penguin Books,Paperback,448,2008,2007,,2020/06/18,to-read,to-read (#48),to-read,,,,0,0
40718726,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,"=""""","=""""",0,4.06,Broadway Books,Kindle Edition,352,2018,2004,,2020/06/18,to-read,to-read (#47),to-read,,,,0,0
28187230,"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,"Ware, Ruth",,"=""1501132938""","=""9781501132933""",0,3.73,Scout Press,Hardcover,341,2016,2016,,2020/06/18,to-read,to-read (#46),to-read,,,,0,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0743477111""","=""9780743477116""",0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2020/06/18,to-read,to-read (#45),to-read,,,,0,0
160149,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,"Lovecraft, H.P.",S.T. Joshi,"=""0141182342""","=""9780141182346""",0,4.03,Penguin Classics,Paperback,420,1999,1928,,2020/06/18,to-read,to-read (#44),to-read,,,,0,0
